employee_id,role,total_required,gaps_count,weighted_gap_score,coverage_pct,gap_pct
299,Hr Manager,10,6,20.62,0.4,0.6
300,Accountant,10,6,22.49,0.4,0.6
301,Content Lead,10,6,20.25,0.4,0.6
302,Auditor,10,5,15.26,0.5,0.5
303,Account Manager,10,7,25.0,0.3,0.7
304,Sales Executive,10,7,23.13,0.3,0.7
305,Developer,10,7,20.49,0.3,0.7
306,Engineer,10,6,19.88,0.4,0.6
307,Auditor,10,6,17.51,0.4,0.6
308,Hr Manager,10,7,26.0,0.3,0.7
309,Developer,10,7,22.5,0.3,0.7
310,Hr Manager,10,6,23.12,0.4,0.6
311,Hr Executive,10,5,16.88,0.5,0.5
312,Helpdesk,10,6,21.37,0.4,0.6
313,Support Engineer,10,6,20.25,0.4,0.6
314,Hr Manager,10,7,28.0,0.3,0.7
315,Sales Executive,10,6,22.49,0.4,0.6
316,Accountant,10,7,24.49,0.3,0.7
317,Account Manager,10,6,21.12,0.4,0.6
318,Account Manager,10,5,16.0,0.5,0.5
319,Hr Executive,10,7,23.37,0.3,0.7
320,Seo Analyst,10,6,21.63,0.4,0.6
321,Seo Analyst,10,7,25.63,0.3,0.7
322,Tester,10,5,18.25,0.5,0.5
323,Content Lead,10,5,18.37,0.5,0.5
324,Tester,10,6,20.13,0.4,0.6
325,Engineer,10,6,22.37,0.4,0.6
326,Content Lead,10,7,23.25,0.3,0.7
327,Sales Executive,10,5,16.13,0.5,0.5
328,Accountant,10,6,20.13,0.4,0.6
329,Hr Manager,10,5,18.0,0.5,0.5
330,Developer,10,5,15.25,0.5,0.5
331,Account Manager,10,5,19.12,0.5,0.5
332,Sales Executive,10,7,23.25,0.3,0.7
333,Hr Manager,10,6,22.25,0.4,0.6
334,Account Manager,10,5,18.37,0.5,0.5
335,Support Engineer,10,7,23.13,0.3,0.7
336,Hr Executive,10,7,26.24,0.3,0.7
337,Seo Analyst,10,7,24.63,0.3,0.7
338,Seo Analyst,10,7,22.87,0.3,0.7
339,Content Lead,10,7,25.49,0.3,0.7
340,Content Lead,10,6,20.25,0.4,0.6
341,Auditor,10,6,20.14,0.4,0.6
342,Tester,10,7,24.37,0.3,0.7
343,Hr Executive,10,7,26.37,0.3,0.7
344,Auditor,10,6,20.38,0.4,0.6
345,Accountant,10,5,18.49,0.5,0.5
346,Hr Manager,10,6,20.88,0.4,0.6
347,Hr Executive,10,6,20.13,0.4,0.6
348,Developer,10,5,15.75,0.5,0.5
349,Sales Executive,10,6,19.13,0.4,0.6
350,Content Lead,10,5,18.25,0.5,0.5
351,Hr Manager,10,5,20.0,0.5,0.5
352,Helpdesk,10,5,18.25,0.5,0.5
353,Tester,10,7,24.13,0.3,0.7
354,Helpdesk,10,7,26.49,0.3,0.7
355,Account Manager,10,7,24.25,0.3,0.7
356,Tester,10,6,19.76,0.4,0.6
357,Hr Executive,10,7,27.24,0.3,0.7
358,Engineer,10,5,19.12,0.5,0.5
359,Hr Executive,10,7,23.13,0.3,0.7
360,Hr Manager,10,5,17.87,0.5,0.5
361,Seo Analyst,10,5,18.0,0.5,0.5
362,Helpdesk,10,5,17.25,0.5,0.5
363,Helpdesk,10,5,17.49,0.5,0.5
364,Tester,10,5,16.37,0.5,0.5
365,Sales Executive,10,5,18.0,0.5,0.5
366,Helpdesk,10,7,26.37,0.3,0.7
367,Accountant,10,7,23.37,0.3,0.7
368,Developer,10,5,15.75,0.5,0.5
369,Account Manager,10,5,16.0,0.5,0.5
370,Hr Executive,10,7,23.25,0.3,0.7
371,Accountant,10,7,24.25,0.3,0.7
372,Developer,10,7,22.25,0.3,0.7
373,Auditor,10,7,22.26,0.3,0.7
374,Accountant,10,7,25.49,0.3,0.7
375,Seo Analyst,10,7,25.0,0.3,0.7
376,Engineer,10,5,17.01,0.5,0.5
377,Sales Executive,10,7,25.12,0.3,0.7
378,Sales Executive,10,7,25.25,0.3,0.7
379,Support Engineer,10,7,24.37,0.3,0.7
380,Seo Analyst,10,5,16.75,0.5,0.5
381,Tester,10,6,20.24,0.4,0.6
382,Support Engineer,10,7,27.24,0.3,0.7
383,Engineer,10,6,22.37,0.4,0.6
384,Sales Executive,10,6,20.37,0.4,0.6
385,Hr Manager,10,5,16.62,0.5,0.5
386,Sales Executive,10,6,19.88,0.4,0.6
387,Account Manager,10,6,23.36,0.4,0.6
388,Content Lead,10,5,17.25,0.5,0.5
389,Support Engineer,10,5,17.88,0.5,0.5
390,Account Manager,10,6,20.37,0.4,0.6
391,Content Lead,10,6,22.24,0.4,0.6
392,Tester,10,6,20.0,0.4,0.6
393,Helpdesk,10,6,22.24,0.4,0.6
394,Accountant,10,5,17.12,0.5,0.5
395,Account Manager,10,6,22.61,0.4,0.6
396,Seo Analyst,10,7,24.87,0.3,0.7
397,Engineer,10,7,23.25,0.3,0.7
398,Sales Executive,10,5,18.0,0.5,0.5
399,Sales Executive,10,7,24.24,0.3,0.7
400,Accountant,10,7,24.13,0.3,0.7
401,Developer,10,6,16.99,0.4,0.6
402,Seo Analyst,10,5,17.99,0.5,0.5
403,Account Manager,10,7,26.61,0.3,0.7
404,Developer,10,7,21.62,0.3,0.7
405,Tester,10,7,24.25,0.3,0.7
406,Sales Executive,10,6,20.13,0.4,0.6
407,Tester,10,6,22.25,0.4,0.6
408,Support Engineer,10,5,15.76,0.5,0.5
409,Hr Manager,10,5,18.87,0.5,0.5
410,Content Lead,10,7,24.37,0.3,0.7
411,Seo Analyst,10,7,24.0,0.3,0.7
412,Support Engineer,10,7,25.24,0.3,0.7
413,Auditor,10,5,16.88,0.5,0.5
414,Auditor,10,6,19.88,0.4,0.6
415,Engineer,10,5,17.0,0.5,0.5
416,Auditor,10,7,21.13,0.3,0.7
417,Auditor,10,5,17.51,0.5,0.5
418,Account Manager,10,7,26.37,0.3,0.7
419,Content Lead,10,6,21.37,0.4,0.6
420,Account Manager,10,7,24.13,0.3,0.7
421,Auditor,10,6,17.38,0.4,0.6
422,Content Lead,10,6,21.37,0.4,0.6
423,Account Manager,10,7,23.25,0.3,0.7
424,Content Lead,10,6,21.49,0.4,0.6
425,Seo Analyst,10,6,22.51,0.4,0.6
426,Account Manager,10,7,26.12,0.3,0.7
427,Accountant,10,7,24.37,0.3,0.7
428,Account Manager,10,7,23.37,0.3,0.7
429,Auditor,10,6,18.88,0.4,0.6
430,Sales Executive,10,7,25.61,0.3,0.7
431,Developer,10,5,15.5,0.5,0.5
432,Support Engineer,10,6,20.88,0.4,0.6
433,Sales Executive,10,7,24.37,0.3,0.7
434,Support Engineer,10,6,19.88,0.4,0.6
435,Support Engineer,10,5,18.0,0.5,0.5
436,Seo Analyst,10,6,21.0,0.4,0.6
437,Hr Executive,10,6,22.61,0.4,0.6
438,Seo Analyst,10,7,23.99,0.3,0.7
439,Seo Analyst,10,6,18.75,0.4,0.6
440,Sales Executive,10,7,24.25,0.3,0.7
441,Sales Executive,10,7,25.25,0.3,0.7
442,Helpdesk,10,6,19.88,0.4,0.6
443,Hr Manager,10,5,20.38,0.5,0.5
444,Tester,10,7,23.25,0.3,0.7
445,Account Manager,10,6,22.0,0.4,0.6
446,Helpdesk,10,5,19.24,0.5,0.5
447,Sales Executive,10,6,20.12,0.4,0.6
448,Tester,10,7,26.37,0.3,0.7
449,Accountant,10,7,25.0,0.3,0.7
450,Developer,10,7,22.12,0.3,0.7
451,Helpdesk,10,7,26.37,0.3,0.7
452,Support Engineer,10,6,23.37,0.4,0.6
453,Engineer,10,7,23.13,0.3,0.7
454,Engineer,10,7,24.25,0.3,0.7
455,Developer,10,5,15.37,0.5,0.5
456,Content Lead,10,5,16.13,0.5,0.5
457,Helpdesk,10,5,17.0,0.5,0.5
458,Hr Executive,10,7,24.25,0.3,0.7
459,Account Manager,10,5,19.24,0.5,0.5
460,Seo Analyst,10,7,23.63,0.3,0.7
461,Accountant,10,5,17.13,0.5,0.5
462,Support Engineer,10,6,22.49,0.4,0.6
463,Accountant,10,7,24.25,0.3,0.7
464,Account Manager,10,7,24.12,0.3,0.7
465,Helpdesk,10,7,24.24,0.3,0.7
466,Developer,10,5,14.37,0.5,0.5
467,Auditor,10,7,22.14,0.3,0.7
468,Hr Executive,10,5,17.25,0.5,0.5
469,Auditor,10,7,20.76,0.3,0.7
470,Hr Executive,10,7,26.49,0.3,0.7
471,Hr Manager,10,5,19.37,0.5,0.5
472,Accountant,10,5,18.12,0.5,0.5
473,Engineer,10,6,20.37,0.4,0.6
474,Auditor,10,7,23.64,0.3,0.7
475,Account Manager,10,5,17.25,0.5,0.5
476,Hr Manager,10,6,21.63,0.4,0.6
477,Sales Executive,10,6,21.49,0.4,0.6
478,Content Lead,10,5,19.36,0.5,0.5
479,Tester,10,5,17.25,0.5,0.5
480,Helpdesk,10,6,20.13,0.4,0.6
481,Developer,10,5,15.49,0.5,0.5
482,Support Engineer,10,6,21.13,0.4,0.6
483,Tester,10,6,20.37,0.4,0.6
484,Sales Executive,10,6,20.37,0.4,0.6
485,Sales Executive,10,7,26.37,0.3,0.7
486,Sales Executive,10,7,25.25,0.3,0.7
487,Developer,10,5,15.12,0.5,0.5
488,Auditor,10,7,21.38,0.3,0.7
489,Accountant,10,5,19.37,0.5,0.5
490,Hr Manager,10,5,17.25,0.5,0.5
491,Account Manager,10,6,21.13,0.4,0.6
492,Seo Analyst,10,5,17.63,0.5,0.5
493,Tester,10,5,16.13,0.5,0.5
494,Hr Manager,10,6,24.5,0.4,0.6
495,Developer,10,5,15.0,0.5,0.5
496,Developer,10,5,16.0,0.5,0.5
497,Auditor,10,7,23.76,0.3,0.7
498,Accountant,10,6,22.24,0.4,0.6
499,Account Manager,10,7,23.13,0.3,0.7
500,Content Lead,10,5,16.01,0.5,0.5
