employee_id,role,top_skill_gap,priority,importance,all_gaps,recommended_tools
1,Auditor,Active Listening,Critical,3.5,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
77,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
78,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
79,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
80,Hr Manager,Active Listening,Critical,4.38,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
81,Helpdesk,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
82,Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
83,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
84,Auditor,Critical Thinking,Critical,3.5,Critical Thinking; Speaking; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
85,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
86,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
87,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
88,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
89,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
90,Auditor,Critical Thinking,Critical,3.5,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
91,Tester,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
92,Accountant,Active Listening,Critical,4.12,Active Listening; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
93,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
94,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
95,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
96,Content Lead,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
97,Hr Manager,Active Listening,Critical,4.38,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
98,Content Lead,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
99,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
100,Account Manager,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
101,Hr Manager,Active Listening,Critical,4.38,Active Listening; Reading Comprehension; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
102,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
103,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
104,Support Engineer,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
105,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Writing; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
106,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
107,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
108,Hr Executive,Active Listening,Critical,4.12,Active Listening; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
109,Support Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
110,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Active Listening; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
111,Helpdesk,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
112,Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
113,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
114,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
115,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
116,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
117,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Writing; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
118,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
119,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Writing; Mathematics,N/A (V2 requires sentence-transformers with valid GPU)
120,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
121,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Active Listening; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
122,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
123,Auditor,Active Listening,Critical,3.5,Active Listening; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
124,Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
125,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
126,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
127,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
128,Hr Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
129,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
130,Tester,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
131,Helpdesk,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
132,Hr Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
133,Auditor,Critical Thinking,Critical,3.5,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
134,Hr Manager,Active Listening,Critical,4.38,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
135,Content Lead,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
136,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
137,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Writing; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
138,Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
139,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Active Listening; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
140,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
141,Tester,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
142,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
143,Helpdesk,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
144,Account Manager,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
145,Support Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Learning Strategies,N/A (V2 requires sentence-transformers with valid GPU)
146,Hr Manager,Active Listening,Critical,4.38,Active Listening; Speaking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
147,Account Manager,Speaking,Critical,4.0,Speaking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
148,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
149,Support Engineer,Active Listening,Critical,4.12,Active Listening; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
150,Content Lead,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
151,Hr Executive,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
152,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
153,Tester,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
154,Seo Analyst,Reading Comprehension,Critical,4.0,Reading Comprehension; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
155,Hr Executive,Active Listening,Critical,4.12,Active Listening; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
156,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
157,Hr Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
158,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
159,Support Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
160,Sales Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
161,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
162,Accountant,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
163,Hr Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
164,Hr Manager,Speaking,Critical,4.25,Speaking; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
165,Tester,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
166,Tester,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
167,Hr Manager,Active Listening,Critical,4.38,Active Listening; Speaking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
168,Hr Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
169,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
170,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
171,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Active Learning; Mathematics,N/A (V2 requires sentence-transformers with valid GPU)
172,Hr Manager,Speaking,Critical,4.25,Speaking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
173,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
174,Content Lead,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
175,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
176,Helpdesk,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
177,Helpdesk,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
178,Account Manager,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
179,Seo Analyst,Active Listening,Critical,4.0,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
180,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
181,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
182,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
183,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
184,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Critical Thinking; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
185,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
186,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Writing; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
187,Support Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
188,Support Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
189,Accountant,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
190,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Critical Thinking; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
191,Hr Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
192,Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
193,Support Engineer,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
194,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Active Listening; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
195,Helpdesk,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
196,Hr Manager,Active Listening,Critical,4.38,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
197,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
198,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
199,Tester,Active Listening,Critical,4.12,Active Listening; Writing; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
200,Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
201,Accountant,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
202,Accountant,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
203,Seo Analyst,Critical Thinking,Critical,4.0,Critical Thinking; Writing; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
204,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
205,Content Lead,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
206,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
207,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
208,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
